2022-11-28 12:57:24, Camera 1, Tomato, 1648, 772, 78.11134196037202
2022-11-28 12:57:24, Camera 1, Tomato, 289, 774, 93.01278750418334
2022-11-28 12:57:26, Camera 1, Tomato, 1567, 761, 83.99099404250548
2022-11-28 12:57:26, Camera 1, Tomato, 1728, 760, 69.44395478041653
2022-11-28 12:57:28, Camera 1, Tomato, 1515, 772, 74.05460409907715
2022-11-28 12:57:29, Camera 1, Tomato, 1727, 856, 78.95109432834526
2022-11-28 12:57:30, Camera 1, Tomato, 1695, 773, 81.46923439005187
2022-11-28 12:57:34, Camera 1, Tomato, 1884, 757, 94.08561677997488
2022-11-28 12:57:38, Camera 1, Tomato, 1573, 757, 81.02737338510362
2022-11-28 12:57:43, Camera 1, Tomato, 472, 712, -43.04749095060039
2022-11-28 12:57:43, Camera 1, Tomato, 1450, 762, 90.0
2022-11-28 12:57:44, Camera 1, Tomato, 1608, 1061, 94.58666687281084
2022-11-28 12:57:45, Camera 1, Tomato, 1478, 765, 70.70995378081128
2022-11-28 12:57:46, Camera 1, Tomato, 1082, 763, 90.0
2022-11-28 12:57:48, Camera 1, Tomato, 313, 775, 92.86240522611175
2022-11-28 12:57:49, Camera 1, Tomato, 724, 775, 90.0
2022-11-28 12:57:53, Camera 1, Tomato, 1525, 759, 64.23067237566129
2022-11-28 12:57:53, Camera 1, Tomato, 1453, 769, 74.05460409907715
2022-11-28 12:57:54, Camera 1, Tomato, 1495, 762, 92.2025981617658
2022-11-28 12:57:55, Camera 1, Tomato, 1528, 762, 82.23483398157467
2022-11-28 12:58:04, Camera 1, Tomato, 1723, 770, 75.96375653207353
2022-11-28 12:58:08, Camera 1, Tomato, 1885, 759, 79.69515353123397
2022-11-28 12:58:08, Camera 1, Tomato, 1441, 768, 85.0302592718897
2022-11-28 12:58:08, Camera 1, Tomato, 1718, 780, 74.9315118405078
2022-11-28 12:58:13, Camera 1, Tomato, 1526, 758, 60.01836063115067
2022-11-28 12:58:14, Camera 1, Tomato, 1396, 776, 85.0302592718897
2022-11-28 12:58:14, Camera 1, Tomato, 1488, 775, 90.0
2022-11-28 12:58:15, Camera 1, Tomato, 1614, 730, -84.28940686250037
2022-11-28 12:58:18, Camera 1, Tomato, 343, 773, 100.78429786756261
2022-11-28 12:58:20, Camera 1, Tomato, 1525, 771, 78.11134196037202
2022-11-28 12:58:20, Camera 1, Tomato, 1683, 764, 79.2157021324374
2022-11-28 12:58:20, Camera 1, Tomato, 1436, 760, 81.86989764584403
2022-11-28 12:58:20, Camera 1, Tomato, 354, 758, 95.71059313749964
2022-11-28 12:58:23, Camera 1, Tomato, 1890, 772, 67.61986494804043
2022-11-28 12:58:24, Camera 1, Tomato, 1436, 774, 79.69515353123397
2022-11-28 12:58:24, Camera 1, Tomato, 1673, 759, 74.74488129694222
2022-11-28 12:58:25, Camera 1, Tomato, 1719, 775, 70.86635679409451
2022-11-28 12:58:26, Camera 1, Tomato, 274, 772, 92.86240522611175
2022-11-28 12:58:26, Camera 1, Tomato, 1678, 817, 82.35959323897325
2022-11-28 12:58:26, Camera 1, Tomato, 1445, 761, 79.99202019855866
2022-11-28 12:58:27, Camera 1, Tomato, 1302, 765, 82.5685920288275
2022-11-28 12:58:28, Camera 1, Tomato, 1482, 757, 65.77225468204583
2022-11-28 12:58:29, Camera 1, Tomato, 1456, 758, 76.6075022462489
2022-11-28 12:58:30, Camera 1, Tomato, 1670, 765, 79.2157021324374
2022-11-28 12:58:33, Camera 1, Tomato, 1563, 770, 86.42366562500266
2022-11-28 12:58:34, Camera 1, Tomato, 1789, 773, 79.2157021324374
2022-11-28 12:58:35, Camera 1, Tomato, 1469, 764, 87.27368900609373
2022-11-28 12:58:38, Camera 1, Tomato, 1536, 765, 81.86989764584403
2022-11-28 12:58:39, Camera 1, Tomato, 1701, 767, 74.9315118405078
2022-11-28 12:58:40, Camera 1, Tomato, 1878, 760, 95.17642834925915
2022-11-28 12:58:45, Camera 1, Tomato, 1668, 763, 79.2157021324374
2022-11-28 12:58:48, Camera 1, Tomato, 1834, 758, 87.70938995736148
2022-11-28 12:58:51, Camera 1, Tomato, 1696, 772, 79.69515353123397
2022-11-28 12:58:52, Camera 1, Tomato, 1808, 761, 79.2157021324374
2022-11-28 12:58:52, Camera 1, Tomato, 1435, 772, 81.86989764584403
2022-11-28 12:58:53, Camera 1, Tomato, 1861, 800, 102.07655638527581
2022-11-28 12:58:54, Camera 1, Tomato, 1153, 766, 82.8749836510982
2022-11-28 12:58:57, Camera 1, Tomato, 1853, 730, -69.86369657175187
2022-11-28 12:58:58, Camera 1, Tomato, 1860, 761, 82.40535663140857
2022-11-28 12:59:01, Camera 1, Tomato, 1765, 756, 74.74488129694222
2022-11-28 12:59:05, Camera 1, Tomato, 1535, 772, 88.09084756700362
2022-11-28 12:59:05, Camera 1, Tomato, 1736, 775, 81.46923439005187
2022-11-28 12:59:06, Camera 1, Tomato, 1541, 761, 90.0
2022-11-28 12:59:07, Camera 1, Tomato, 1764, 770, 77.47119229084849
2022-11-28 12:59:07, Camera 1, Tomato, 1663, 769, 83.77417093557423
2022-11-28 12:59:09, Camera 1, Tomato, 1542, 758, 84.28940686250037
